excel_id,session_id,turn_index,expected_action,depends_on_turn,turn_type,user_message,gold_sql
2772,TestMultiturn9,3,EXECUTE_SQL,1,ctx_total,¿Cuántos registros dio ese resultado en total?,"SELECT COUNT(*) AS total_registros FROM ( SELECT r.name AS sucursal, SUM(t.total_value) AS total_total_value, COUNT(*) AS registros FROM ""treasury"".""bank_note"" AS t JOIN ""core"".""branch_office"" AS r ON t.branch_office_id = r.id WHERE t.member_id = $1 AND t.audit_status <> 'D' AND r.name ILIKE '%TRANSPORTE%' GROUP BY r.id, r.name ORDER BY total_total_value DESC ) AS sub;"
2773,TestMultiturn9,4,NO_SQL,,ns_ok,"Perfecto, entendido.",
2774,TestMultiturn9,5,NO_SQL,,ns_gracias,"Listo, muchas gracias, justo lo que necesitaba.",
2775,TestMultiturn9,6,CLARIFY,,cl_vago,Dame los datos.,
2776,TestMultiturn9,7,EXECUTE_SQL,1,ctx_top5,"De ese resultado, muéstrame solo los primeros 5.","SELECT r.name AS sucursal, SUM(t.total_value) AS total_total_value, COUNT(*) AS registros FROM ""treasury"".""bank_note"" AS t JOIN ""core"".""branch_office"" AS r ON t.branch_office_id = r.id WHERE t.member_id = $1 AND t.audit_status <> 'D' AND r.name ILIKE '%TRANSPORTE%' GROUP BY r.id, r.name ORDER BY total_total_value DESC LIMIT 5;"
2777,TestMultiturn9,8,EXECUTE_SQL,1,ctx_orden,Ordena ese resultado de mayor a menor.,"SELECT r.name AS sucursal, SUM(t.total_value) AS total_total_value, COUNT(*) AS registros FROM ""treasury"".""bank_note"" AS t JOIN ""core"".""branch_office"" AS r ON t.branch_office_id = r.id WHERE t.member_id = $1 AND t.audit_status <> 'D' AND r.name ILIKE '%TRANSPORTE%' GROUP BY r.id, r.name ORDER BY total_total_value DESC ORDER BY total_total_value DESC LIMIT 100;"
2778,TestMultiturn9,9,CLARIFY,,cl_otro,"Y lo otro también, porfa.",
2779,TestMultiturn10,1,EXECUTE_SQL,,seed_sql,"Indícame los últimos 3 cuentas por cobrar - price discount que se han creado, solo requiero el nombre y la fecha de creación.","SELECT name, created_at FROM ""account_receivable"".""price_discount"" WHERE member_id = $1 AND audit_status <> 'D' ORDER BY created_at DESC LIMIT 3;"
2780,TestMultiturn10,2,EXECUTE_SQL,1,ctx_total,¿Cuántos registros dio ese resultado en total?,"SELECT COUNT(*) AS total_registros FROM ( SELECT name, created_at FROM ""account_receivable"".""price_discount"" WHERE member_id = $1 AND audit_status <> 'D' ORDER BY created_at DESC ) AS sub;"
2781,TestMultiturn10,3,NO_SQL,,ns_capacidad,¿Qué otras cosas puedes consultar de mi empresa?,
2782,TestMultiturn10,4,EXECUTE_SQL,1,ctx_top5,"De ese resultado, muéstrame solo los primeros 5.","SELECT name, created_at FROM ""account_receivable"".""price_discount"" WHERE member_id = $1 AND audit_status <> 'D' ORDER BY created_at DESC LIMIT 5;"
2783,TestMultiturn10,5,CLARIFY,,cl_comparar,Compáralo.,
2784,TestMultiturn11,1,NO_SQL,,ns_saludo,"Hola, buenos días.",
2785,TestMultiturn11,2,EXECUTE_SQL,,seed_sql,"Quiero saber, por cada cuenta contable, la suma del valor del impuesto y la cantidad de treasury - income balance tax asociados; incluye el nombre del cuenta contable. Muchas gracias.","SELECT r.name AS cuenta_contable, SUM(t.tax_value) AS total_tax_value, COUNT(*) AS registros FROM ""treasury"".""income_balance_tax"" AS t JOIN ""accounting"".""account"" AS r ON t.account_id = r.id WHERE t.member_id = $1 AND t.audit_status <> 'D' GROUP BY r.id, r.name ORDER BY total_tax_value DESC LIMIT 100;"
2786,TestMultiturn11,3,EXECUTE_SQL,2,ctx_top5,"De ese resultado, muéstrame solo los primeros 5.","SELECT r.name AS cuenta_contable, SUM(t.tax_value) AS total_tax_value, COUNT(*) AS registros FROM ""treasury"".""income_balance_tax"" AS t JOIN ""accounting"".""account"" AS r ON t.account_id = r.id WHERE t.member_id = $1 AND t.audit_status <> 'D' GROUP BY r.id, r.name ORDER BY total_tax_value DESC LIMIT 5;"
2787,TestMultiturn11,4,CLARIFY,,cl_comparar,Compáralo.,
2788,TestMultiturn11,5,NO_SQL,2,ns_explica,¿Me puedes explicar qué significa ese dato?,
2789,TestMultiturn11,6,EXECUTE_SQL,2,ctx_promedio,"Y en vez de la suma, dame el promedio.","SELECT r.name AS cuenta_contable, AVG(t.tax_value) AS total_tax_value, COUNT(*) AS registros FROM ""treasury"".""income_balance_tax"" AS t JOIN ""accounting"".""account"" AS r ON t.account_id = r.id WHERE t.member_id = $1 AND t.audit_status <> 'D' GROUP BY r.id, r.name ORDER BY total_tax_value DESC LIMIT 100;"
2790,TestMultiturn12,1,NO_SQL,,ns_saludo,"Hola, buenos días.",
2791,TestMultiturn12,2,EXECUTE_SQL,,seed_sql,"Suministrame los primeros 2 transporte - veto que se crearon en el sistema, con el nombre y la fecha de creación. Muchas gracias.","SELECT name, created_at FROM ""national_transport"".""veto"" WHERE member_id = $1 AND audit_status <> 'D' ORDER BY created_at ASC LIMIT 2;"
2792,TestMultiturn12,3,NO_SQL,,ns_identidad,¿Y tú quién eres exactamente?,
2793,TestMultiturn12,4,EXECUTE_SQL,2,ctx_top5,"De ese resultado, muéstrame solo los primeros 5.","SELECT name, created_at FROM ""national_transport"".""veto"" WHERE member_id = $1 AND audit_status <> 'D' ORDER BY created_at ASC LIMIT 5;"
2794,TestMultiturn12,5,EXECUTE_SQL,2,ctx_total,¿Cuántos registros dio ese resultado en total?,"SELECT COUNT(*) AS total_registros FROM ( SELECT name, created_at FROM ""national_transport"".""veto"" WHERE member_id = $1 AND audit_status <> 'D' ORDER BY created_at ASC ) AS sub;"
2795,TestMultiturn13,1,EXECUTE_SQL,,seed_sql,"Dame el total del valor del descuento de los cuentas por pagar - electronic document received detail cuyo producto contiene 'VOLQUETA' en el nombre, agrupado por producto. Es urgente.","SELECT r.name AS producto, SUM(t.discount_amount) AS total_discount_amount, COUNT(*) AS registros FROM ""account_payable"".""electronic_document_received_detail"" AS t JOIN ""inventory"".""product"" AS r ON t.product_id = r.id WHERE t.member_id = $1 AND t.audit_status <> 'D' AND r.name ILIKE '%VOLQUETA%' GROUP BY r.id, r.name ORDER BY total_discount_amount DESC LIMIT 100;"
2796,TestMultiturn13,2,NO_SQL,,ns_gracias,"Listo, muchas gracias, justo lo que necesitaba.",
2797,TestMultiturn13,3,EXECUTE_SQL,1,ctx_orden,Ordena ese resultado de mayor a menor.,"SELECT r.name AS producto, SUM(t.discount_amount) AS total_discount_amount, COUNT(*) AS registros FROM ""account_payable"".""electronic_document_received_detail"" AS t JOIN ""inventory"".""product"" AS r ON t.product_id = r.id WHERE t.member_id = $1 AND t.audit_status <> 'D' AND r.name ILIKE '%VOLQUETA%' GROUP BY r.id, r.name ORDER BY total_discount_amount DESC ORDER BY total_discount_amount DESC LIMIT 100;"
2798,TestMultiturn13,4,EXECUTE_SQL,1,ctx_total,¿Cuántos registros dio ese resultado en total?,"SELECT COUNT(*) AS total_registros FROM ( SELECT r.name AS producto, SUM(t.discount_amount) AS total_discount_amount, COUNT(*) AS registros FROM ""account_payable"".""electronic_document_received_detail"" AS t JOIN ""inventory"".""product"" AS r ON t.product_id = r.id WHERE t.member_id = $1 AND t.audit_status <> 'D' AND r.name ILIKE '%VOLQUETA%' GROUP BY r.id, r.name ORDER BY total_discount_amount DESC ) AS sub;"
2799,TestMultiturn13,5,EXECUTE_SQL,1,ctx_top5,"De ese resultado, muéstrame solo los primeros 5.","SELECT r.name AS producto, SUM(t.discount_amount) AS total_discount_amount, COUNT(*) AS registros FROM ""account_payable"".""electronic_document_received_detail"" AS t JOIN ""inventory"".""product"" AS r ON t.product_id = r.id WHERE t.member_id = $1 AND t.audit_status <> 'D' AND r.name ILIKE '%VOLQUETA%' GROUP BY r.id, r.name ORDER BY total_discount_amount DESC LIMIT 5;"
2800,TestMultiturn13,6,EXECUTE_SQL,1,ctx_promedio,"Y en vez de la suma, dame el promedio.","SELECT r.name AS producto, AVG(t.discount_amount) AS total_discount_amount, COUNT(*) AS registros FROM ""account_payable"".""electronic_document_received_detail"" AS t JOIN ""inventory"".""product"" AS r ON t.product_id = r.id WHERE t.member_id = $1 AND t.audit_status <> 'D' AND r.name ILIKE '%VOLQUETA%' GROUP BY r.id, r.name ORDER BY total_discount_amount DESC LIMIT 100;"
2801,TestMultiturn13,7,CLARIFY,,cl_siempre,Muéstrame lo de siempre.,
2802,TestMultiturn13,8,EXECUTE_SQL,1,ctx_max,"De ese resultado, ¿cuál tiene el valor más alto?","SELECT r.name AS producto, SUM(t.discount_amount) AS total_discount_amount, COUNT(*) AS registros FROM ""account_payable"".""electronic_document_received_detail"" AS t JOIN ""inventory"".""product"" AS r ON t.product_id = r.id WHERE t.member_id = $1 AND t.audit_status <> 'D' AND r.name ILIKE '%VOLQUETA%' GROUP BY r.id, r.name ORDER BY total_discount_amount DESC ORDER BY total_discount_amount DESC LIMIT 1;"
2803,TestMultiturn14,1,EXECUTE_SQL,,seed_sql,Dame el listado de nombres de grupos de inventario. Gracias.,"SELECT name FROM ""inventory"".""group"" WHERE member_id = $1 AND audit_status <> 'D' LIMIT 100;"
2804,TestMultiturn14,2,CLARIFY,,cl_vago,Dame los datos.,
2805,TestMultiturn14,3,EXECUTE_SQL,1,ctx_top5,"De ese resultado, muéstrame solo los primeros 5.","SELECT name FROM ""inventory"".""group"" WHERE member_id = $1 AND audit_status <> 'D' LIMIT 5;"
2806,TestMultiturn14,4,NO_SQL,,ns_opinion,¿Ese número te parece normal para un negocio como el mío?,
2807,TestMultiturn14,5,EXECUTE_SQL,,switch_sql,"Ahora, cambiando de tema: indícame los últimos 2 inventario - product option que se han creado, solo requiero el nombre y la descripción. Es urgente.","SELECT name, description FROM ""inventory"".""product_option"" WHERE member_id = $1 AND audit_status <> 'D' ORDER BY created_at DESC LIMIT 2;"
2808,TestMultiturn14,6,EXECUTE_SQL,5,ctx_total,¿Cuántos registros dio ese resultado en total?,"SELECT COUNT(*) AS total_registros FROM ( SELECT name, description FROM ""inventory"".""product_option"" WHERE member_id = $1 AND audit_status <> 'D' ORDER BY created_at DESC ) AS sub;"
2809,TestMultiturn14,7,EXECUTE_SQL,5,ctx_top5,"De ese resultado, muéstrame solo los primeros 5.","SELECT name, description FROM ""inventory"".""product_option"" WHERE member_id = $1 AND audit_status <> 'D' ORDER BY created_at DESC LIMIT 5;"
2810,TestMultiturn15,1,NO_SQL,,ns_saludo,"Hola, buenos días.",
2811,TestMultiturn15,2,EXECUTE_SQL,,seed_sql,"Dame el total del total de los cuentas por cobrar - note cuyo cliente contiene 'OFICINA' en el nombre, agrupado por cliente. Gracias.","SELECT r.name AS cliente, SUM(t.total) AS total_total, COUNT(*) AS registros FROM ""account_receivable"".""note"" AS t JOIN ""account_receivable"".""customer_detail"" AS r ON t.customer_detail_id = r.id WHERE t.member_id = $1 AND t.audit_status <> 'D' AND r.name ILIKE '%OFICINA%' GROUP BY r.id, r.name ORDER BY total_total DESC LIMIT 100;"
2812,TestMultiturn15,3,EXECUTE_SQL,2,ctx_promedio,"Y en vez de la suma, dame el promedio.","SELECT r.name AS cliente, AVG(t.total) AS total_total, COUNT(*) AS registros FROM ""account_receivable"".""note"" AS t JOIN ""account_receivable"".""customer_detail"" AS r ON t.customer_detail_id = r.id WHERE t.member_id = $1 AND t.audit_status <> 'D' AND r.name ILIKE '%OFICINA%' GROUP BY r.id, r.name ORDER BY total_total DESC LIMIT 100;"
2813,TestMultiturn15,4,CLARIFY,,cl_eso,¿Y eso cómo va?,
2814,TestMultiturn15,5,NO_SQL,,ns_offtopic,"Oye, ¿y me recomiendas algo para almorzar hoy?",
2815,TestMultiturn15,6,CLARIFY,,cl_siempre,Muéstrame lo de siempre.,
2816,TestMultiturn15,7,EXECUTE_SQL,2,ctx_max,"De ese resultado, ¿cuál tiene el valor más alto?","SELECT r.name AS cliente, SUM(t.total) AS total_total, COUNT(*) AS registros FROM ""account_receivable"".""note"" AS t JOIN ""account_receivable"".""customer_detail"" AS r ON t.customer_detail_id = r.id WHERE t.member_id = $1 AND t.audit_status <> 'D' AND r.name ILIKE '%OFICINA%' GROUP BY r.id, r.name ORDER BY total_total DESC ORDER BY total_total DESC LIMIT 1;"
2817,TestMultiturn15,8,EXECUTE_SQL,,switch_sql,"Ahora, cambiando de tema: indícame los últimos 5 insurance - origin of policies que se han creado, solo requiero el nombre y la fecha de creación. Muchas gracias.","SELECT name, created_at FROM ""insurance"".""origin_of_policies"" WHERE member_id = $1 AND audit_status <> 'D' ORDER BY created_at DESC LIMIT 5;"
